Borough,Precinct,Crashes,"Bicyclist Injuries","Bicyclist Fatalities","Motor Vehicle Occupant Injuries"
Queens ,100,"","",""
Queens ,101,"","",""
Queens ,102,"","",""
Queens ,103,"","",""
Queens ,104,"","",""
Queens ,105,"","",""
Queens ,106 ,1 ,1 ,0
Queens ,107,"","",""
Queens ,108,"","",""
Queens ,109,"","",""
Queens ,110 ,1 ,1 ,0
Queens ,111,"","",""
Queens ,112,"","",""
Queens ,113,"","",""
Queens ,114,"","",""
Queens ,115,"","",""
Queens Total ,"",2 ,2 ,0
Staten Island ,120,"","",""
Staten Island ,122,"","",""
Staten Island ,123,"","",""
Staten Island Total ,"",0 ,0 ,0
Citywide Total ,"",14 ,15 ,0
